0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.256,0.111,89.9
0.341,0.111,89.9
0.341,0.111,89.9
0.341,0.111,89.9
0.341,0.111,89.9
0.341,0.111,89.9
0.426,0.111,89.9
0.426,0.111,89.9
0.426,0.111,89.9
0.426,0.111,89.9
0.512,0.111,89.9
0.512,0.111,89.9
0.512,0.111,89.9
0.597,0.111,89.9
0.597,0.111,89.9
0.597,0.111,89.9
0.682,0.111,89.9
0.682,0.111,89.9
0.682,0.111,89.9
0.768,0.111,89.9
0.768,0.111,89.9
0.768,0.111,89.9
0.853,0.111,90.0
0.853,0.111,90.0
0.853,0.111,89.9
0.938,0.111,89.9
0.938,0.111,90.0
1.023,0.111,90.0
1.023,0.111,90.0
1.023,0.111,90.0
1.109,0.111,90.0
1.109,0.111,90.0
1.194,0.111,90.0
1.194,0.111,90.0
1.279,0.111,90.0
1.279,0.111,90.0
1.364,0.111,90.0
1.364,0.111,90.0
1.45,0.111,90.0
1.45,0.111,90.0
1.535,0.111,90.0
1.535,0.111,90.0
1.62,0.111,90.0
1.62,0.111,90.0
1.706,0.111,90.0
1.706,0.111,90.0
1.791,0.111,90.0
1.791,0.111,90.0
1.876,0.111,90.0
1.876,0.111,90.0
1.961,0.111,90.0
1.961,0.111,90.0
2.047,0.111,90.0
2.132,0.111,90.0
2.132,0.111,90.0
2.217,0.111,90.0
2.217,0.111,90.0
2.303,0.111,90.0
2.388,0.111,90.0
2.388,0.111,90.0
2.473,0.111,90.0
2.473,0.111,90.0
2.558,0.111,90.0
2.644,0.111,90.0
2.644,0.111,90.0
2.729,0.111,90.0
2.814,0.111,90.0
2.814,0.111,90.0
2.9,0.111,90.0
2.9,0.111,90.0
2.985,0.111,90.1
3.07,0.111,90.1
3.07,0.111,90.1
3.155,0.111,90.1
3.241,0.111,90.1
3.326,0.111,90.1
3.326,0.111,90.1
3.411,0.111,90.1
3.496,0.111,90.1
3.496,0.111,90.1
3.582,0.111,90.1
3.667,0.111,90.1
3.752,0.111,90.1
3.752,0.111,90.1
3.838,0.111,90.1
3.923,0.111,90.1
4.008,0.111,90.1
4.008,0.111,90.1
4.093,0.111,90.1
4.179,0.111,90.1
4.264,0.111,90.1
4.264,0.111,90.1
4.349,0.111,90.1
4.435,0.111,90.1
4.52,0.111,90.1
4.605,0.111,90.1
4.605,0.111,90.1
4.69,0.111,90.1
4.776,0.111,90.1
4.861,0.111,90.1
4.946,0.111,90.1
4.946,0.111,90.1
5.032,0.111,90.1
5.117,0.111,90.2
5.202,0.111,90.2
5.287,0.111,90.1
5.373,0.111,90.2
5.373,0.111,90.2
5.458,0.111,90.2
5.543,0.111,90.2
5.629,0.111,90.2
5.714,0.111,90.2
5.799,0.111,90.2
5.884,0.111,90.2
5.884,0.111,90.2
5.97,0.111,90.2
6.055,0.111,90.2
6.14,0.111,90.2
6.225,0.111,90.2
6.311,0.111,90.2
6.396,0.111,90.2
6.481,0.111,90.2
6.567,0.111,90.2
6.652,0.111,90.2
6.652,0.111,90.2
6.737,0.111,90.2
6.822,0.111,90.2
6.908,0.111,90.2
6.993,0.111,90.2
7.078,0.111,90.2
7.164,0.111,90.2
7.249,0.111,90.3
7.334,0.111,90.3
7.419,0.111,90.2
7.505,0.111,90.3
7.59,0.111,90.3
7.675,0.111,90.3
7.675,0.111,90.2
7.761,0.111,90.2
7.846,0.111,90.2
7.931,0.111,90.2
8.016,0.111,90.2
8.102,0.111,90.2
8.187,0.111,90.2
8.272,0.111,90.2
8.357,0.111,90.1
8.443,0.111,90.1
8.528,0.111,90.1
8.613,0.111,90.1
8.699,0.111,90.0
8.784,0.111,90.0
8.869,0.111,90.0
8.954,0.111,90.0
9.04,0.111,89.9
9.125,0.111,89.9
9.21,0.111,89.9
9.296,0.111,89.8
9.381,0.111,89.8
9.466,0.111,89.8
9.551,0.111,89.7
9.637,0.111,89.7
9.722,0.111,89.7
9.722,0.111,89.6
9.807,0.111,89.6
9.893,0.111,89.6
9.978,0.111,89.5
10.063,0.111,89.5
10.148,0.111,89.4
10.234,0.111,89.4
10.319,0.111,89.3
10.404,0.111,89.3
10.489,0.111,89.2
10.575,0.111,89.2
10.66,0.111,89.1
10.745,0.111,89.1
10.831,0.111,89.0
10.916,0.111,89.0
11.001,0.111,88.9
11.086,0.111,88.9
11.172,0.111,88.8
11.257,0.111,88.8
11.342,0.111,88.7
11.513,0.111,88.7
11.598,0.111,88.6
11.598,0.111,88.5
11.683,0.111,88.5
11.769,0.111,88.4
11.854,0.111,88.4
12.025,0.111,88.3
12.11,0.111,88.3
12.195,0.111,88.2
12.28,0.111,88.1
12.366,0.222,88.1
12.451,0.222,88.0
12.536,0.222,87.9
12.621,0.222,87.9
12.707,0.222,87.8
12.792,0.222,87.8
12.877,0.222,87.7
12.963,0.222,87.6
13.048,0.222,87.6
13.133,0.222,87.5
13.218,0.222,87.4
13.304,0.222,87.4
13.389,0.222,87.3
13.474,0.222,87.3
13.56,0.222,87.2
13.645,0.222,87.1
13.73,0.222,87.1
13.815,0.222,87.0
13.901,0.222,87.0
13.986,0.222,86.9
14.071,0.333,86.8
14.157,0.333,86.8
14.242,0.333,86.7
14.327,0.333,86.6
14.412,0.333,86.6
14.498,0.333,86.5
14.583,0.333,86.5
14.668,0.333,86.4
14.753,0.333,86.3
14.839,0.333,86.3
15.009,0.333,86.2
15.095,0.333,86.2
15.18,0.333,86.1
15.265,0.333,86.0
15.35,0.333,86.0
15.436,0.333,85.9
15.521,0.333,85.9
15.606,0.333,85.8
15.692,0.444,85.8
15.777,0.444,85.8
15.862,0.444,85.7
15.947,0.444,85.7
16.033,0.444,85.7
16.118,0.444,85.7
16.203,0.444,85.6
16.289,0.444,85.6
16.374,0.444,85.6
16.459,0.444,85.6
16.544,0.444,85.6
16.63,0.444,85.6
16.715,0.444,85.6
16.8,0.555,85.6
16.886,0.555,85.6
16.971,0.555,85.6
17.056,0.555,85.6
17.141,0.555,85.6
17.312,0.555,85.6
17.397,0.555,85.6
17.482,0.555,85.6
17.568,0.555,85.6
17.653,0.555,85.6
17.738,0.555,85.6
17.824,0.555,85.6
17.909,0.555,85.7
17.994,0.555,85.6
18.079,0.555,85.7
18.165,0.666,85.7
18.25,0.666,85.7
18.335,0.666,85.7
